Sample ID,Replicate Number,Detection Date,Detection Time,User Name,Manual Dilution Factor,Auto Dilution Factor,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height
5,1,9/29/2021,4:06:58 PM,PSSadmin,1,1,288,ug P/L,1,6.18,0.209,845,ug N/L,2,2.11,0.131
6,1,9/29/2021,4:08:17 PM,PSSadmin,1,1,59.6,ug P/L,1,1.64,0.0561,9.44,ug N/L,2,0.571,0.0331
7,1,9/29/2021,4:09:34 PM,PSSadmin,1,1,60.3,ug P/L,1,1.65,0.0561,104,ug N/L,2,0.745,0.0426
8,1,9/29/2021,4:10:52 PM,PSSadmin,1,1,28.2,ug P/L,1,1.01,0.0368,4320,ug N/L,2,8.49,0.525
9,1,9/29/2021,4:12:10 PM,PSSadmin,1,1,71.3,ug P/L,1,1.87,0.0618,2640,ug N/L,2,5.41,0.334
10,1,9/29/2021,4:13:27 PM,PSSadmin,1,1,774,ug P/L,1,15.9,0.546,1730,ug N/L,2,3.74,0.226
CCV Mid 50/500 ug/L,1,9/29/2021,4:14:45 PM,PSSadmin,1,1,46.6,ug P/L,1,1.38,0.0505,505,ug N/L,2,1.48,0.0865
CCV Low 10/100 ug/L,1,9/29/2021,4:16:04 PM,PSSadmin,1,1,11.4,ug P/L,1,0.676,0.0243,132,ug N/L,2,0.796,0.047
CCB ,1,9/29/2021,4:17:23 PM,PSSadmin,1,1,0.216,ug P/L,1,0.452,0.0172,-42.8,ug N/L,2,0.475,0.029
11,1,9/29/2021,4:18:41 PM,PSSadmin,1,1,80.7,ug P/L,1,2.06,0.0717,1380,ug N/L,2,3.08,0.186
12,1,9/29/2021,4:19:58 PM,PSSadmin,1,1,129,ug P/L,1,3.01,0.104,1390,ug N/L,2,3.11,0.189
13,1,9/29/2021,4:21:15 PM,PSSadmin,1,1,71.5,ug P/L,1,1.87,0.066,1120,ug N/L,2,2.6,0.16
14,1,9/29/2021,4:22:32 PM,PSSadmin,1,1,21.3,ug P/L,1,0.872,0.0323,5130,ug N/L,2,9.98,0.619
15,1,9/29/2021,4:23:49 PM,PSSadmin,1,1,21.1,ug P/L,1,0.868,0.0309,2620,ug N/L,2,5.38,0.335
16,1,9/29/2021,4:25:08 PM,PSSadmin,1,1,27,ug P/L,1,0.985,0.0355,2120,ug N/L,2,4.45,0.274
17,1,9/29/2021,4:26:27 PM,PSSadmin,1,1,16.4,ug P/L,1,0.774,0.0271,608,ug N/L,2,1.67,0.0979
18,1,9/29/2021,4:27:45 PM,PSSadmin,1,1,25.5,ug P/L,1,0.955,0.0337,445,ug N/L,2,1.37,0.0801
19,1,9/29/2021,4:29:04 PM,PSSadmin,1,1,18,ug P/L,1,0.807,0.029,612,ug N/L,2,1.68,0.0989
20,1,9/29/2021,4:30:22 PM,PSSadmin,1,1,32.6,ug P/L,1,1.1,0.0391,2920,ug N/L,2,5.93,0.364
CCV Mid 50/500 ug/L,1,9/29/2021,4:31:41 PM,PSSadmin,1,1,43.5,ug P/L,1,1.32,0.0466,525,ug N/L,2,1.52,0.089
CCV Low 10/100 ug/L,1,9/29/2021,4:32:59 PM,PSSadmin,1,1,12.1,ug P/L,1,0.689,0.0248,127,ug N/L,2,0.787,0.0454
CCB ,1,9/29/2021,4:34:18 PM,PSSadmin,1,1,0.967,ug P/L,1,0.467,0.0173,-42.5,ug N/L,2,0.476,0.0288
21,1,9/29/2021,4:35:37 PM,PSSadmin,1,1,22.3,ug P/L,1,0.893,0.0322,1900,ug N/L,2,4.04,0.244
22,1,9/29/2021,4:36:55 PM,PSSadmin,1,1,248,ug P/L,1,5.38,0.186,1670,ug N/L,2,3.62,0.225
23,1,9/29/2021,4:38:13 PM,PSSadmin,1,1,98.3,ug P/L,1,2.41,0.0853,2190,ug N/L,2,4.57,0.28
24,1,9/29/2021,4:39:31 PM,PSSadmin,1,1,90.9,ug P/L,1,2.26,0.0803,1570,ug N/L,2,3.44,0.205
25,1,9/29/2021,4:40:48 PM,PSSadmin,1,1,53.8,ug P/L,1,1.52,0.0557,1670,ug N/L,2,3.62,0.217
26,1,9/29/2021,4:42:06 PM,PSSadmin,1,1,37.5,ug P/L,1,1.2,0.0427,4760,ug N/L,2,9.31,0.581
27,1,9/29/2021,4:43:23 PM,PSSadmin,1,1,46.6,ug P/L,1,1.38,0.0488,3580,ug N/L,2,7.14,0.445
28,1,9/29/2021,4:44:41 PM,PSSadmin,1,1,24.1,ug P/L,1,0.929,0.0331,2590,ug N/L,2,5.31,0.328
29,1,9/29/2021,4:45:58 PM,PSSadmin,1,1,28.7,ug P/L,1,1.02,0.036,606,ug N/L,2,1.67,0.0995
30,1,9/29/2021,4:47:15 PM,PSSadmin,1,1,33.1,ug P/L,1,1.11,0.0379,468,ug N/L,2,1.41,0.0821
CCV Mid 50/500 ug/L,1,9/29/2021,4:48:33 PM,PSSadmin,1,1,47,ug P/L,1,1.38,0.049,419,ug N/L,2,1.32,0.0778
CCV Low 10/100 ug/L,1,9/29/2021,4:49:52 PM,PSSadmin,1,1,13.1,ug P/L,1,0.71,0.0257,111,ug N/L,2,0.758,0.0438
CCB ,1,9/29/2021,4:51:11 PM,PSSadmin,1,1,1.11,ug P/L,1,0.47,0.0173,-46.1,ug N/L,2,0.469,0.0265
31,1,9/29/2021,4:52:30 PM,PSSadmin,1,1,37.4,ug P/L,1,1.19,0.0416,430,ug N/L,2,1.34,0.079
32,1,9/29/2021,4:53:48 PM,PSSadmin,1,1,18.3,ug P/L,1,0.812,0.0286,777,ug N/L,2,1.98,0.12
33,1,9/29/2021,4:55:07 PM,PSSadmin,1,1,29.5,ug P/L,1,1.04,0.0363,1130,ug N/L,2,2.63,0.157
34,1,9/29/2021,4:56:25 PM,PSSadmin,1,1,31.8,ug P/L,1,1.08,0.0379,1020,ug N/L,2,2.42,0.143
35,1,9/29/2021,4:57:44 PM,PSSadmin,1,1,347,ug P/L,1,7.36,0.26,2010,ug N/L,2,4.24,0.261
36,1,9/29/2021,4:59:02 PM,PSSadmin,1,1,861,ug P/L,1,17.6,0.626,2500,ug N/L,2,5.14,0.32
37,1,9/29/2021,5:00:21 PM,PSSadmin,1,1,474,ug P/L,1,9.88,0.352,1930,ug N/L,2,4.1,0.25
