Sample ID,Replicate Number,Detection Date,Detection Time,User Name,Manual Dilution Factor,Auto Dilution Factor,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height
93,1,11/15/2021,1:23:43 PM,PSSadmin,1,1,28.9,ug P/L,1,0.415,0.0151,802,ug N/L,2,1.59,0.0943
94,1,11/15/2021,1:24:59 PM,PSSadmin,1,1,38.1,ug P/L,1,0.564,0.0202,901,ug N/L,2,1.78,0.104
95,1,11/15/2021,1:26:18 PM,PSSadmin,1,1,28.9,ug P/L,1,0.416,0.0147,750,ug N/L,2,1.48,0.0871
96,1,11/15/2021,1:27:37 PM,PSSadmin,1,1,24.9,ug P/L,1,0.352,0.0127,313,ug N/L,2,0.618,0.0356
97,1,11/15/2021,1:28:56 PM,PSSadmin,1,1,22.3,ug P/L,1,0.309,0.0108,275,ug N/L,2,0.542,0.0293
98,1,11/15/2021,1:30:14 PM,PSSadmin,1,1,8.06,ug P/L,1,0.0796,0.00328,204,ug N/L,2,0.402,0.0201
99,1,11/15/2021,1:31:33 PM,PSSadmin,1,1,18.8,ug P/L,1,0.253,0.0089,513,ug N/L,2,1.01,0.0573
CCV Mid 50/500 ug/L,1,11/15/2021,1:32:50 PM,PSSadmin,1,1,49,ug P/L,1,0.739,0.0268,552,ug N/L,2,1.09,0.0609
CCV Low 10/100 ug/L,1,11/15/2021,1:34:09 PM,PSSadmin,1,1,10.5,ug P/L,1,0.119,0.0043,119,ug N/L,2,0.235,0.0131
CCB ,1,11/15/2021,1:35:28 PM,PSSadmin,1,1,-0.527,ug P/L,1,-0.0588,-0.00262,22.4,ug N/L,2,0.0428,0.00332
100,1,11/15/2021,1:36:46 PM,PSSadmin,1,1,8.18,ug P/L,1,0.0817,0.00298,378,ug N/L,2,0.747,0.0404
101,1,11/15/2021,1:38:05 PM,PSSadmin,1,1,17.2,ug P/L,1,0.226,0.00842,524,ug N/L,2,1.03,0.0603
102,1,11/15/2021,1:39:23 PM,PSSadmin,1,1,96,ug P/L,1,1.5,0.0556,878,ug N/L,2,1.74,0.102
103,1,11/15/2021,1:40:41 PM,PSSadmin,1,1,288,ug P/L,1,4.59,0.172,1100,ug N/L,2,2.17,0.127
104,1,11/15/2021,1:41:58 PM,PSSadmin,1,1,141,ug P/L,1,2.23,0.0834,1040,ug N/L,2,2.06,0.12
105,1,11/15/2021,1:43:16 PM,PSSadmin,1,1,45.5,ug P/L,1,0.683,0.0244,669,ug N/L,2,1.32,0.0741
106,1,11/15/2021,1:44:33 PM,PSSadmin,1,1,42.7,ug P/L,1,0.639,0.0233,613,ug N/L,2,1.21,0.0713
107,1,11/15/2021,1:45:51 PM,PSSadmin,1,1,20.8,ug P/L,1,0.285,0.0103,508,ug N/L,2,1,0.0585
108,1,11/15/2021,1:47:08 PM,PSSadmin,1,1,190,ug P/L,1,3.01,0.113,261,ug N/L,2,0.514,0.0303
109,1,11/15/2021,1:48:25 PM,PSSadmin,1,1,188,ug P/L,1,2.99,0.113,283,ug N/L,2,0.559,0.0304
CCV Mid 50/500 ug/L,1,11/15/2021,1:49:43 PM,PSSadmin,1,1,51.4,ug P/L,1,0.779,0.0292,531,ug N/L,2,1.05,0.0598
CCV Low 10/100 ug/L,1,11/15/2021,1:51:01 PM,PSSadmin,1,1,13.6,ug P/L,1,0.169,0.00647,137,ug N/L,2,0.27,0.0129
CCB ,1,11/15/2021,1:52:20 PM,PSSadmin,1,1,1.67,ug P/L,1,-0.0234,-0.00148,-20.6,ug N/L,2,-0.0423,-0.002
110,1,11/15/2021,1:53:39 PM,PSSadmin,1,1,26.1,ug P/L,1,0.371,0.0135,248,ug N/L,2,0.49,0.0244
111,1,11/15/2021,1:54:58 PM,PSSadmin,1,1,26.1,ug P/L,1,0.37,0.0132,216,ug N/L,2,0.425,0.0231
112,1,11/15/2021,1:56:17 PM,PSSadmin,1,1,36.5,ug P/L,1,0.538,0.0192,248,ug N/L,2,0.488,0.0268
113,1,11/15/2021,1:57:36 PM,PSSadmin,1,1,27.5,ug P/L,1,0.393,0.0114,506,ug N/L,2,1,0.055
114,1,11/15/2021,1:58:54 PM,PSSadmin,1,1,28.1,ug P/L,1,0.402,0.0169,500,ug N/L,2,0.988,0.0578
115,1,11/15/2021,2:00:13 PM,PSSadmin,1,1,19.2,ug P/L,1,0.26,0.00931,529,ug N/L,2,1.04,0.0603
116,1,11/15/2021,2:01:31 PM,PSSadmin,1,1,103,ug P/L,1,1.6,0.0596,990,ug N/L,2,1.96,0.115
117,1,11/15/2021,2:02:49 PM,PSSadmin,1,1,200,ug P/L,1,3.17,0.12,969,ug N/L,2,1.92,0.112
118,1,11/15/2021,2:04:07 PM,PSSadmin,1,1,79.6,ug P/L,1,1.23,0.0461,876,ug N/L,2,1.73,0.102
119,1,11/15/2021,2:05:25 PM,PSSadmin,1,1,31.6,ug P/L,1,0.459,0.0178,577,ug N/L,2,1.14,0.0664
CCV Mid 50/500 ug/L,1,11/15/2021,2:06:43 PM,PSSadmin,1,1,48,ug P/L,1,0.723,0.0271,522,ug N/L,2,1.03,0.0586
CCV Low 10/100 ug/L,1,11/15/2021,2:08:01 PM,PSSadmin,1,1,11.3,ug P/L,1,0.132,0.00727,126,ug N/L,2,0.248,0.0131
CCB ,1,11/15/2021,2:09:21 PM,PSSadmin,1,1,-14.2,ug P/L,1,-0.279,-0.00517,37.6,ug N/L,2,0.0729,0.0025
120,1,11/15/2021,2:10:38 PM,PSSadmin,1,1,27.3,ug P/L,1,0.391,0.0136,606,ug N/L,2,1.2,0.0693
121,1,11/15/2021,2:11:56 PM,PSSadmin,1,1,19.6,ug P/L,1,0.266,0.00939,556,ug N/L,2,1.1,0.0634
122,1,11/15/2021,2:13:13 PM,PSSadmin,1,1,163,ug P/L,1,2.58,0.0979,218,ug N/L,2,0.43,0.0243
123,1,11/15/2021,2:14:31 PM,PSSadmin,1,1,168,ug P/L,1,2.66,0.101,276,ug N/L,2,0.545,0.0297
124,1,11/15/2021,2:15:48 PM,PSSadmin,1,1,32.9,ug P/L,1,0.481,0.0176,399,ug N/L,2,0.787,0.0443
125,1,11/15/2021,2:17:07 PM,PSSadmin,1,1,25.6,ug P/L,1,0.363,0.0132,402,ug N/L,2,0.794,0.0441
126,1,11/15/2021,2:18:26 PM,PSSadmin,1,1,28,ug P/L,1,0.401,0.0142,452,ug N/L,2,0.893,0.051
127,1,11/15/2021,2:19:45 PM,PSSadmin,1,1,16.1,ug P/L,1,0.209,0.00726,486,ug N/L,2,0.96,0.0538
84 duplicate,1,11/15/2021,2:21:04 PM,PSSadmin,1,1,17.2,ug P/L,1,0.227,0.00805,553,ug N/L,2,1.09,0.0619
blank,1,11/15/2021,2:22:23 PM,PSSadmin,1,1,-2.46,ug P/L,1,-0.09,-0.00361,28.3,ug N/L,2,0.0545,0.00271
CCV Mid 50/500 ug/L,1,11/15/2021,2:23:41 PM,PSSadmin,1,1,42.3,ug P/L,1,0.632,0.0234,516,ug N/L,2,1.02,0.0582
CCV Low 10/100 ug/L,1,11/15/2021,2:24:59 PM,PSSadmin,1,1,5.54,ug P/L,1,0.0391,0.00153,151,ug N/L,2,0.297,0.0145
CCB ,1,11/15/2021,2:26:19 PM,PSSadmin,1,1,-7.28,ug P/L,1,-0.168,-0.00678,9.72,ug N/L,2,0.0176,0.00178
blank,1,11/15/2021,2:27:37 PM,PSSadmin,1,1,-6.96,ug P/L,1,-0.163,-0.00634,15.2,ug N/L,2,0.0284,0.00132
LCS TP,1,11/15/2021,2:28:56 PM,PSSadmin,1,1,87.2,ug P/L,1,1.36,0.0512,127,ug N/L,2,0.249,0.0124
LCS TN,1,11/15/2021,2:30:14 PM,PSSadmin,1,1,-5.36,ug P/L,1,-0.137,-0.0051,-18.3,ug N/L,2,-0.0378,0.0103
128,1,11/15/2021,2:31:32 PM,PSSadmin,1,1,18.3,ug P/L,1,0.245,0.00828,575,ug N/L,2,1.14,0.0633
129,1,11/15/2021,2:32:50 PM,PSSadmin,1,1,8.8,ug P/L,1,0.0917,0.00307,558,ug N/L,2,1.1,0.0637
130,1,11/15/2021,2:34:08 PM,PSSadmin,1,1,60.5,ug P/L,1,0.926,0.0344,768,ug N/L,2,1.52,0.0878
131,1,11/15/2021,2:35:26 PM,PSSadmin,1,1,121,ug P/L,1,1.9,0.0727,815,ug N/L,2,1.61,0.0939
132,1,11/15/2021,2:36:44 PM,PSSadmin,1,1,63.2,ug P/L,1,0.968,0.0356,713,ug N/L,2,1.41,0.079
133,1,11/15/2021,2:38:02 PM,PSSadmin,1,1,4.36,ug P/L,1,0.0201,0.00409,559,ug N/L,2,1.1,0.0642
134,1,11/15/2021,2:39:19 PM,PSSadmin,1,1,24,ug P/L,1,0.336,0.0121,601,ug N/L,2,1.19,0.0694
CCV Mid 50/500 ug/L,1,11/15/2021,2:40:37 PM,PSSadmin,1,1,42,ug P/L,1,0.627,0.0234,530,ug N/L,2,1.05,0.0599
CCV Low 10/100 ug/L,1,11/15/2021,2:41:55 PM,PSSadmin,1,1,6.72,ug P/L,1,0.0581,0.00208,151,ug N/L,2,0.297,0.0139
CCB ,1,11/15/2021,2:43:14 PM,PSSadmin,1,1,-8.73,ug P/L,1,-0.191,-0.00678,-24.3,ug N/L,2,-0.0497,-0.00216
135,1,11/15/2021,2:44:32 PM,PSSadmin,1,1,11.9,ug P/L,1,0.142,0.00495,561,ug N/L,2,1.11,0.061
136,1,11/15/2021,2:45:51 PM,PSSadmin,1,1,303,ug P/L,1,4.83,0.184,464,ug N/L,2,0.917,0.0525
137,1,11/15/2021,2:47:10 PM,PSSadmin,1,1,317,ug P/L,1,5.06,0.191,532,ug N/L,2,1.05,0.0619
138,1,11/15/2021,2:48:29 PM,PSSadmin,1,1,28.2,ug P/L,1,0.404,0.0148,415,ug N/L,2,0.82,0.0451
139,1,11/15/2021,2:49:49 PM,PSSadmin,1,1,9.21,ug P/L,1,0.0982,0.00341,384,ug N/L,2,0.759,0.043
140,1,11/15/2021,2:51:08 PM,PSSadmin,1,1,11.7,ug P/L,1,0.138,0.00457,415,ug N/L,2,0.82,0.0467
141,1,11/15/2021,2:52:26 PM,PSSadmin,1,1,3.13,ug P/L,1,0.000137,0.000524,396,ug N/L,2,0.782,0.0441
142,1,11/15/2021,2:53:45 PM,PSSadmin,1,1,20,ug P/L,1,0.272,0.00954,513,ug N/L,2,1.01,0.0591
143,1,11/15/2021,2:55:03 PM,PSSadmin,1,1,5.81,ug P/L,1,0.0434,0.00121,499,ug N/L,2,0.987,0.0569
144,1,11/15/2021,2:56:22 PM,PSSadmin,1,1,33.2,ug P/L,1,0.484,0.0177,540,ug N/L,2,1.07,0.0606
CCV Mid 50/500 ug/L,1,11/15/2021,2:57:40 PM,PSSadmin,1,1,38.2,ug P/L,1,0.566,0.0212,531,ug N/L,2,1.05,0.0595
CCV Low 10/100 ug/L,1,11/15/2021,2:58:58 PM,PSSadmin,1,1,0.651,ug P/L,1,-0.0398,-0.00207,146,ug N/L,2,0.286,0.0145
CCB ,1,11/15/2021,3:00:18 PM,PSSadmin,1,1,-9.76,ug P/L,1,-0.208,-0.00801,-25.6,ug N/L,2,-0.0523,-0.00168
145,1,11/15/2021,3:01:36 PM,PSSadmin,1,1,71.1,ug P/L,1,1.1,0.0405,542,ug N/L,2,1.07,0.0611
146,1,11/15/2021,3:02:54 PM,PSSadmin,1,1,38.3,ug P/L,1,0.566,0.0208,559,ug N/L,2,1.1,0.0617
147,1,11/15/2021,3:04:12 PM,PSSadmin,1,1,1.97,ug P/L,1,-0.0185,-0.00131,406,ug N/L,2,0.803,0.0456
148,1,11/15/2021,3:05:30 PM,PSSadmin,1,1,10.4,ug P/L,1,0.117,0.00508,463,ug N/L,2,0.915,0.0517
149,1,11/15/2021,3:06:47 PM,PSSadmin,1,1,14.7,ug P/L,1,0.187,0.00648,509,ug N/L,2,1.01,0.0549
150,1,11/15/2021,3:08:05 PM,PSSadmin,1,1,296,ug P/L,1,4.72,0.178,480,ug N/L,2,0.948,0.0537
151,1,11/15/2021,3:09:24 PM,PSSadmin,1,1,305,ug P/L,1,4.86,0.185,-313,ug N/L,2,-0.62,-0.0506
