Sample ID,Replicate Number,Detection Date,Detection Time,User Name,Manual Dilution Factor,Auto Dilution Factor,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height
21,1,8/11/2021,2:22:07 PM,PSSadmin,1,1,27.4,ug P/L,1,0.827,0.0309,5170,ug N/L,2,9.13,0.567
22,1,8/11/2021,2:23:25 PM,PSSadmin,1,1,31.3,ug P/L,1,0.897,0.0343,740,ug N/L,2,1.4,0.0855
23,1,8/11/2021,2:24:43 PM,PSSadmin,1,1,9.16,ug P/L,1,0.502,0.0192,697,ug N/L,2,1.32,0.0814
24,1,8/11/2021,2:26:00 PM,PSSadmin,1,1,10.3,ug P/L,1,0.523,0.0205,1410,ug N/L,2,2.57,0.161
25,1,8/11/2021,2:27:18 PM,PSSadmin,1,1,11,ug P/L,1,0.536,0.0214,2940,ug N/L,2,5.24,0.329
26,1,8/11/2021,2:28:36 PM,PSSadmin,1,1,-0.0119,ug P/L,1,0.339,0.0139,5720,ug N/L,2,10.1,0.637
27,1,8/11/2021,2:29:53 PM,PSSadmin,1,1,-0.905,ug P/L,1,0.323,0.0122,5910,ug N/L,2,10.4,0.65
28,1,8/11/2021,2:31:11 PM,PSSadmin,1,1,56.2,ug P/L,1,1.34,0.0515,1180,ug N/L,2,2.17,0.135
29,1,8/11/2021,2:32:28 PM,PSSadmin,1,1,87.1,ug P/L,1,1.89,0.0721,4190,ug N/L,2,7.42,0.463
30,1,8/11/2021,2:33:45 PM,PSSadmin,1,1,45.9,ug P/L,1,1.16,0.0445,6120,ug N/L,2,10.8,0.675
CCV Mid 50/500 ug/L,1,8/11/2021,2:35:03 PM,PSSadmin,1,1,50.9,ug P/L,1,1.25,0.0469,585,ug N/L,2,1.13,0.0686
CCV Low 10/100 ug/L,1,8/11/2021,2:36:21 PM,PSSadmin,1,1,7.47,ug P/L,1,0.472,0.018,80.4,ug N/L,2,0.247,0.0134
CCB ,1,8/11/2021,2:37:40 PM,PSSadmin,1,1,-6.26,ug P/L,1,0.227,0.00927,-89.4,ug N/L,2,-0.0498,-0.00169
31,1,8/11/2021,2:39:00 PM,PSSadmin,1,1,19.2,ug P/L,1,0.681,0.0262,3500,ug N/L,2,6.23,0.389
32,1,8/11/2021,2:40:19 PM,PSSadmin,1,1,-0.517,ug P/L,1,0.33,0.0131,10700,ug N/L,2,18.8,1.18
33,1,8/11/2021,2:41:38 PM,PSSadmin,1,1,1.26,ug P/L,1,0.361,0.0145,7170,ug N/L,2,12.6,0.793
34,1,8/11/2021,2:42:56 PM,PSSadmin,1,1,51.1,ug P/L,1,1.25,0.0485,376,ug N/L,2,0.763,0.0468
35,1,8/11/2021,2:44:15 PM,PSSadmin,1,1,42.1,ug P/L,1,1.09,0.0412,2870,ug N/L,2,5.12,0.32
36,1,8/11/2021,2:45:33 PM,PSSadmin,1,1,709,ug P/L,1,13,0.502,2810,ug N/L,2,5.02,0.315
37,1,8/11/2021,2:46:52 PM,PSSadmin,1,1,52.1,ug P/L,1,1.27,0.0489,3240,ug N/L,2,5.77,0.361
38,1,8/11/2021,2:48:10 PM,PSSadmin,1,1,21.5,ug P/L,1,0.722,0.0282,41200,ug N/L,2,72,4.2
39,1,8/11/2021,2:49:28 PM,PSSadmin,1,1,24.8,ug P/L,1,0.782,0.0303,55700,ug N/L,2,97.4,5.07
40,1,8/11/2021,2:50:45 PM,PSSadmin,1,1,355,ug P/L,1,6.67,0.236,26900,ug N/L,2,47.1,2.87
CCV Mid 50/500 ug/L,1,8/11/2021,2:52:04 PM,PSSadmin,1,1,56.9,ug P/L,1,1.36,0.0533,1230,ug N/L,2,2.25,0.141
CCV Low 10/100 ug/L,1,8/11/2021,2:53:22 PM,PSSadmin,1,1,7.41,ug P/L,1,0.471,0.0182,80.4,ug N/L,2,0.247,0.0137
CCB ,1,8/11/2021,2:54:42 PM,PSSadmin,1,1,-6.35,ug P/L,1,0.225,0.00944,-76.9,ug N/L,2,-0.0279,-0.00172
41,1,8/11/2021,2:55:59 PM,PSSadmin,1,1,184,ug P/L,1,3.63,0.139,33200,ug N/L,2,58.1,3.49
42,1,8/11/2021,2:57:16 PM,PSSadmin,1,1,73.5,ug P/L,1,1.65,0.0638,31500,ug N/L,2,55.2,3.33
43,1,8/11/2021,2:58:34 PM,PSSadmin,1,1,75.3,ug P/L,1,1.68,0.0656,58100,ug N/L,2,102,5.16
44,1,8/11/2021,2:59:51 PM,PSSadmin,1,1,3.27,ug P/L,1,0.397,0.0161,58300,ug N/L,2,102,5.17
45,1,8/11/2021,3:01:09 PM,PSSadmin,1,1,12.3,ug P/L,1,0.558,0.0219,58200,ug N/L,2,102,5.18
46,1,8/11/2021,3:02:28 PM,PSSadmin,1,1,18,ug P/L,1,0.661,0.026,28800,ug N/L,2,50.4,3.06
47,1,8/11/2021,3:03:47 PM,PSSadmin,1,1,30.5,ug P/L,1,0.884,0.0339,27800,ug N/L,2,48.7,2.96
48,1,8/11/2021,3:05:06 PM,PSSadmin,1,1,28.2,ug P/L,1,0.841,0.0331,46300,ug N/L,2,81,4.55
49,1,8/11/2021,3:06:24 PM,PSSadmin,1,1,48.1,ug P/L,1,1.2,0.0461,33600,ug N/L,2,58.7,3.52
50,1,8/11/2021,3:07:43 PM,PSSadmin,1,1,37.3,ug P/L,1,1,0.0391,1170,ug N/L,2,2.15,0.135
CCV Mid 50/500 ug/L,1,8/11/2021,3:11:49 PM,PSSadmin,1,1,48.4,ug P/L,1,1.2,0.0469,529,ug N/L,2,1.03,0.0623
CCV Low 10/100 ug/L,1,8/11/2021,3:13:07 PM,PSSadmin,1,1,7.88,ug P/L,1,0.479,0.0186,205,ug N/L,2,0.465,0.0245
CCB ,1,8/11/2021,3:14:26 PM,PSSadmin,1,1,-5.74,ug P/L,1,0.236,0.00991,-73.5,ug N/L,2,-0.022,-0.0013
10 MG/L post dig std,1,8/11/2021,3:15:45 PM,PSSadmin,1,1,-18.2,ug P/L,1,0.0144,0.00143,9110,ug N/L,2,16,1.01
CCV Mid 50/500 ug/L,1,8/11/2021,3:17:03 PM,PSSadmin,1,1,47.7,ug P/L,1,1.19,0.0467,714,ug N/L,2,1.35,0.0844
CCV Low 10/100 ug/L,1,8/11/2021,3:18:22 PM,PSSadmin,1,1,5.45,ug P/L,1,0.436,0.0175,74.4,ug N/L,2,0.236,0.0134
CCB ,1,8/11/2021,3:19:41 PM,PSSadmin,1,1,-18.1,ug P/L,1,0.0153,0.00167,-30.2,ug N/L,2,0.0536,0.00255
